,mean_train_r2,mean_test_r2,std_test_r2,mean_test_rmse,std_test_rmse
Ridge,0.8073008836336071,-2.8141851426685927,3.0538004744832836,9.024852780805762,4.064846911128773
ElasticNet,0.7981538924142566,-3.3423567228963273,3.1288341795064056,9.954490597525384,5.688933913444478
Random Forest,0.9381490395401183,-3.325489231977651,4.0323739811758434,10.720125073128488,8.311598594108087
