,n_train,n_test,test_r2,test_rmse,recession_pct
Tech Boom,57.0,15.0,-0.6675337212379475,4.175309899939123,0.0
Early 2000s,67.0,17.0,-5.247951055318479,14.409777283229296,0.0
Financial Crisis,19.0,5.0,-4.423613845241771,6.915749874950652,0.0
Recovery,96.0,24.0,-1.3098678455309254,4.173584750264726,0.0
COVID Era,52.0,13.0,-0.8041270272713572,9.48752487698537,0.0
