period,response
0,0.0
1,1.0275417111807947
2,1.2430047341247565
3,0.7569930009572087
4,0.4574225341640706
5,0.5212028076250503
6,0.37012520586757713
7,0.2544343453947884
8,0.25622915980796135
9,0.27146815415575865
10,0.24450872574203059
11,0.19191252296334818
12,0.1256344834103961
13,0.07570420690777326
14,0.045021029930093256
15,0.027745354953961687
16,0.0201789581561697
17,0.022228799087068013
18,0.02475249900191344
19,0.02203580156167055
20,0.017146798583095035
21,0.015014732999750383
22,0.014461486436746607
23,0.014881145804148052
24,0.016629642394304006
