shock_variable,peak_response,peak_period,initial_response,cumulative_24m
CPIAUCSL,10.849242904400988,5,0.0,-146.98003756884316
UNRATE,0.2726341311346268,4,0.0,-4.512626418628423
FEDFUNDS,0.9887110034080736,5,0.0,11.281230326654354
SP500,1.0668332367899442,2,0.0,3.339025196185104
