Model,MAE,RMSE,R²,MASE,Directional Accuracy
Linear,0.5894165884188972,1.4427346224114188,0.9885910257587617,0.1865811473637242,0.9575757575757575
RandomForest,1.54338554216866,2.153582268360411,0.9745787661866356,0.4885621662852739,0.8424242424242424
SVR,4.430000952892834,7.383573973666751,0.7011818641221128,1.402326769985146,0.7454545454545455
Ensemble,1.849205338468517,2.896096974692655,0.9540273126356029,0.5853701109568533,0.9090909090909091
