feature,importance
UMCSENT_lag1,0.8972368960101169
UNRATE,0.015641809296678855
VIXCLS_yoy,0.010012659041042172
USEPUINDXD,0.009077716474473294
M1SL_lag12,0.007957651660520327
MICH_ma3,0.007858731590027023
CPIAUCSL_vol3,0.007328742412264504
INDPRO_vol3,0.006967135982260504
MORTGAGE30US,0.006796932654025346
BAMLH0A0HYM2_yoy,0.006094951372006369
UMCSENT_lag6,0.005552644280952243
CIVPART_lag6,0.005430081208675662
ICSA_pct,0.0053191821079254945
CIVPART_ma3,0.004621733082235236
BAMLH0A0HYM2_pct,0.0041031328267960914
