feature,importance
UMCSENT_lag1,0.88743244117371
M1SL_lag12,0.005114133128026604
VIXCLS_yoy,0.0033015209032901628
CIVPART_ma3,0.0029508344943247585
UNRATE,0.002307307309757587
BAMLH0A0HYM2_yoy,0.0019873178403182683
ICSA_pct,0.0019331420564180216
CPIAUCSL_vol3,0.0017313950770151115
UMCSENT_lag6,0.0016168712300093284
USEPUINDXD,0.0015710642712000262
INDPRO_vol3,0.0015009877265971946
CIVPART_lag6,0.0013383527644874303
MICH_ma3,0.0011950002161044185
BAMLH0A0HYM2_pct,0.0011141183801152144
MORTGAGE30US,0.0010560070223276925
USEPUINDXD_pct,0.0010426180286093524
CIVPART_lag3,0.001034960544318188
CPIUFDSL_yoy,0.000980830031108682
RSAFS_yoy,0.0009652175922915001
VIXCLS,0.0009536319653463318
uncertainty_x_stocks,0.0009217807023695875
financial_stress_index,0.00091812458267666
USEPUINDXD_lag12,0.0008999592060804361
CIVPART,0.0008605358818255743
GASREGW,0.0008334937322924345
PSAVERT_lag6,0.0008112416054422822
CC4WSA_lag12,0.00078640690181948
GASREGW_lag6,0.000775883811890458
USEPUINDXD_lag1,0.0007658318486647319
DCOILWTICO,0.0007536662410086662
MORTGAGE30US_yoy,0.0007431605425595819
ANFCI_yoy,0.00074260929283146
VIXCLS_ma3,0.0007392481364744783
MICH_yoy,0.0007264846299845191
BUSINV_vol3,0.0006725856822577155
CUSR0000SEHA_vol3,0.000662169380311828
T10Y2Y_vol3,0.0006552344502766256
U6RATE_yoy,0.0006385766355042577
DSPIC96_vol3,0.0006348925779754946
DEXUSEU_yoy,0.0006261862021979011
mortgage_spread,0.0006211626544635263
CPIAUCSL_yoy,0.0006149725136559196
USEPUINDXD_ma3,0.000590508255943077
PERMIT,0.0005711967169006957
UMCSENT_lag12,0.0005546177201790298
VIXCLS_vol3,0.0005486511977369831
GS10_vol3,0.000548210682954572
sp500_vix_ratio,0.0005480125678132289
CUSR0000SEHA_pct,0.0005387967959154475
AHETPI_pct,0.0005158541841757649
CPIAUCSL_pct,0.0005123608978404336
ICSA_vol3,0.0005093292033027211
PERMIT_vol3,0.0005017356027587295
TEDRATE_lag12,0.0004995141001328145
AWHMAN_yoy,0.0004992183287548626
MICH_lag6,0.00048727324358171695
INDPRO_ma3,0.00048547022452535805
VIXCLS_lag1,0.0004829812745368595
TCMDO_vol3,0.0004752269373670892
PERMIT_yoy,0.0004715023495545522
DCOILWTICO_lag6,0.00046357517201661436
RSAFS_pct,0.00046068331426769643
U6RATE,0.0004594996631120796
GASREGW_pct,0.00045666215572887287
USEPUINDXD_yoy,0.00045643787672958343
TEDRATE_ma3,0.00045231824300404825
DSPIC96_pct,0.00044686142942815157
SP500_yoy,0.00044565561494833963
HPIPONM226S_pct,0.0004450782651678426
labor_stress_index,0.00044198566211193916
BAMLH0A0HYM2_vol3,0.0004401265406789375
MICH_pct,0.0004386690453277466
HPIPONM226S_yoy,0.0004339362929008894
GS10,0.00043190918588217425
MICH,0.0004316452138059828
NEWORDER_pct,0.00042638274425326844
VIXCLS_pct,0.0004257506542177222
INDPRO_pct,0.00041882318994326557
DEXUSEU_lag3,0.0004182861393303448
ICSA,0.00041403378474236344
T10Y2Y_pct,0.0004108747501739688
AHETPI_vol3,0.00041061688010551845
DSPIC96_yoy,0.00041043490104005875
CC4WSA,0.00040581943445066194
ANFCI_pct,0.00039581091737965886
DCOILWTICO_lag3,0.0003936030457736891
UMCSENT_lag3,0.0003904625718326306
HOUST_vol3,0.00038860804517553235
MICH_lag3,0.0003883833050170342
CPIUFDSL_vol3,0.0003854065390367178
DCOILWTICO_lag12,0.00038538140968065156
U6RATE_ma3,0.0003792545898850118
VIXCLS_lag12,0.00037914758472984623
BUSINV_pct,0.000368783546635484
ANFCI_lag6,0.0003647652624303721
VIXCLS_lag3,0.0003567257369793936
NEWORDER_vol3,0.00035623223069943845
CSUSHPINSA_pct,0.0003500800880830241
UNRATE_pct,0.00034007314735342545
FEDFUNDS_yoy,0.0003369207987716842
DCOILWTICO_lag1,0.000331728536891318
M1SL_lag1,0.00033144614684245123
PCE_pct,0.00032993014425687975
PSAVERT_lag3,0.00032776021635437524
PERMIT_pct,0.00032682929108647653
PSAVERT_yoy,0.00032546896151693745
PSAVERT_lag12,0.0003222220474581549
GASREGW_yoy,0.00032030088146527667
ICSA_lag12,0.0003179504856754723
GASREGW_vol3,0.00031781543205132293
CIVPART_vol3,0.00031659870068071844
HOUST,0.0003143261533000782
CC4WSA_vol3,0.0003117806212538924
TEDRATE_pct,0.00031131798983020573
TEDRATE,0.00030958709870510524
M1SL_lag3,0.0003092372067722848
HPIPONM226S_vol3,0.00030550739083933903
PERMIT_lag6,0.00030519837652207845
ANFCI_vol3,0.00030436373421810205
CSUSHPINSA_yoy,0.000301310524810853
VIXCLS_lag6,0.000300174193413182
housing_x_mortgage,0.00029987741842125743
PAYEMS_vol3,0.00029859004189662045
CPIUFDSL_pct,0.00029733605385824657
USEPUINDXD_vol3,0.0002929284899170138
DEXUSEU_pct,0.000292740955431498
FEDFUNDS_vol3,0.00029131510221854385
DEXUSEU_vol3,0.00029037136146778793
ANFCI_lag1,0.0002895329824345757
TEDRATE_yoy,0.00028854561691275517
DCOILWTICO_pct,0.0002880823902869678
TEDRATE_vol3,0.00028453895720831866
FMNHSHPSIUS_ma3,0.0002838157543896633
DCOILWTICO_yoy,0.00028159956684202677
CSUSHPINSA,0.00028002106606231245
USEPUINDXD_lag6,0.0002779933791874326
UNRATE_lag12,0.0002718850690998465
