feature,importance
AWHMAN,6.494939019795453e-05
AWHMAN_yoy,6.483518668958474e-05
ICSA_yoy,6.473181057248745e-05
CUSR0000SEHA_pct,6.464343565612023e-05
GS10_lag6,6.305764602026104e-05
DGORDER_lag1,6.202786362205376e-05
GS10_lag1,6.172400114202622e-05
U6RATE_ma3,6.104162123372452e-05
PCE_yoy,6.076787793356721e-05
labor_stress_index,5.919723785937684e-05
mortgage_spread,5.897594694257579e-05
FEDFUNDS,5.8825674950322676e-05
CPILFESL_vol3,5.872774155212627e-05
FEDFUNDS_yoy,5.837891914183112e-05
MORTGAGE30US_vol3,5.815477722811038e-05
GASREGW_ma3,5.701388886450369e-05
CSUSHPINSA_vol3,5.646183457427107e-05
CC4WSA_yoy,5.627855852508678e-05
GASREGW,5.573704824044546e-05
T10Y2Y_vol3,5.5428992945855616e-05
DGORDER,5.539626996297348e-05
RSAFS_lag6,5.5098804629306455e-05
CC4WSA_lag1,5.486248493890676e-05
U6RATE_vol3,5.48281919665939e-05
NEWORDER_yoy,5.442045598762957e-05
ANFCI_lag3,5.428016048554476e-05
M1SL_yoy,5.3621443810281386e-05
ICSA_ma3,5.241823070828799e-05
AHETPI_yoy,5.212831378386996e-05
T10Y2Y_yoy,5.201581348277899e-05
INDPRO_lag1,5.1228370513223e-05
PERMIT_yoy,5.109675567582999e-05
CC4WSA,4.998546236382139e-05
financial_stress_index,4.923144738773644e-05
UNRATE_lag1,4.879385642387061e-05
U6RATE_lag3,4.862880715288759e-05
CIVPART_ma3,4.7026388146866516e-05
HOUST_ma3,4.6736879273974676e-05
CUSR0000SEHA_vol3,4.672559088415235e-05
ICSA_lag6,4.6217571694020196e-05
NEWORDER,4.557029571294601e-05
GASREGW_lag6,4.544769138461231e-05
FEDFUNDS_pct,4.34626828456141e-05
HPIPONM226S_lag1,4.279040792558263e-05
DEXUSEU_lag1,4.209410019567604e-05
INDPRO_yoy,4.150709251575554e-05
HPIPONM226S_ma3,4.143521647844652e-05
T10Y2Y_lag3,4.0989268952871154e-05
PERMIT_ma3,4.0635094951913275e-05
NEWORDER_lag3,3.972087277711011e-05
CUSR0000SEHA_yoy,3.969145295910939e-05
T10Y3M_lag1,3.965197207153786e-05
CSUSHPINSA_yoy,3.850652734015167e-05
PERMIT,3.8411234148662856e-05
U6RATE_lag1,3.839615046619765e-05
HPIPONM226S_yoy,3.803332537784898e-05
DGORDER_lag3,3.759800800260473e-05
AWHMAN_vol3,3.7358697853270515e-05
CPILFESL_yoy,3.723552734519938e-05
T10Y2Y,3.714398400661354e-05
BUSINV,3.666369472606068e-05
NEWORDER_lag6,3.632374042184183e-05
UNRATE_yoy,3.5647170332339344e-05
GS10_yoy,3.5602436367198244e-05
HPIPONM226S,3.516157361679315e-05
AHETPI_vol3,3.475897238448492e-05
ANFCI_lag1,3.473179863353874e-05
GASREGW_lag1,3.439782753028857e-05
MORTGAGE30US_lag1,3.36541883931077e-05
UNRATE_lag3,3.318023843496607e-05
DEXUSEU,3.288873621205957e-05
T10Y2Y_lag6,3.2248933111305285e-05
HOUST,3.174276464808892e-05
GS10,3.091791615683575e-05
T10Y3M,3.0569526699259285e-05
UNRATE_lag6,3.004547107951357e-05
M1SL_lag1,2.97166720646923e-05
UNRATE_vol3,2.9372225404626756e-05
DEXUSEU_lag6,2.9290689798931153e-05
T10Y3M_lag6,2.9258167130127585e-05
TCMDO_lag1,2.9046054075396284e-05
MORTGAGE30US_lag6,2.8812159935573128e-05
VIXCLS_lag1,2.8694953845376073e-05
FEDFUNDS_lag3,2.8630091418765717e-05
M1SL_lag3,2.857480775352038e-05
T10Y3M_ma3,2.8249532562366175e-05
INDPRO_ma3,2.7888607554538754e-05
CPIAUCSL_lag1,2.68127381652812e-05
treasury_10y_3m,2.6536182929180753e-05
MORTGAGE30US_lag3,2.636773278350758e-05
TEDRATE_ma3,2.595797117122353e-05
NEWORDER_lag1,2.529262559827297e-05
AWHMAN_ma3,2.4967909323254735e-05
CC4WSA_lag6,2.4953126667747085e-05
AWHMAN_lag6,2.4607385757587816e-05
MORTGAGE30US_ma3,2.4210329850675996e-05
DEXUSEU_ma3,2.3564098036073945e-05
ANFCI_ma3,2.3028972213661387e-05
TEDRATE_lag3,2.2869805690461102e-05
CUSR0000SEHA,2.261258448181849e-05
FMNHSHPSIUS_lag1,2.213614510272609e-05
FEDFUNDS_lag1,2.192970895505697e-05
FMNHSHPSIUS_vol3,2.1307716537642945e-05
TCMDO_yoy,2.0081490000082996e-05
UNRATE_ma3,2.0025162298199432e-05
AWHMAN_lag3,1.9933262560280243e-05
ICSA_lag3,1.9680528896015425e-05
T10Y2Y_lag1,1.9400275616331824e-05
BAMLH0A0HYM2,1.9347147315521398e-05
BUSINV_lag3,1.9316807494601373e-05
CSUSHPINSA_lag1,1.9178136895485777e-05
M1SL,1.9124593399139415e-05
DGORDER_lag6,1.8890173964840743e-05
PAYEMS_lag3,1.8791926150949182e-05
treasury_10y_2y,1.8723382256980213e-05
CIVPART_lag1,1.8113394140333083e-05
T10Y2Y_ma3,1.7874993344103928e-05
CC4WSA_ma3,1.7738201280253934e-05
CPILFESL_lag1,1.7361085662815266e-05
NEWORDER_ma3,1.7348940893820074e-05
BUSINV_lag6,1.7173050700338838e-05
GS10_ma3,1.7085368693334306e-05
PCE,1.7030531835841454e-05
DSPIC96_lag3,1.6584691465033823e-05
BAMLH0A0HYM2_lag3,1.650148889808509e-05
ANFCI,1.6346864368468855e-05
RSAFS_lag3,1.5869774015246062e-05
CSUSHPINSA_lag6,1.5868179046568087e-05
TCMDO_lag3,1.542204591354372e-05
CUSR0000SEHA_lag6,1.5188229601942367e-05
U6RATE,1.4878472614841846e-05
DGORDER_ma3,1.4808488891463438e-05
yield_curve_10y_ff,1.470317653910013e-05
CPIUFDSL,1.468398762225722e-05
TCMDO_lag6,1.4366602527301999e-05
U6RATE_lag6,1.4047358789987698e-05
FMNHSHPSIUS,1.4017335508380992e-05
DSPIC96_lag6,1.397066706369136e-05
RSAFS,1.3370967903034486e-05
CIVPART_lag6,1.3280260992780066e-05
BUSINV_ma3,1.316448683300375e-05
CPIAUCSL,1.3000813076917275e-05
FEDFUNDS_ma3,1.2770141440995702e-05
PAYEMS_lag6,1.2159480594525553e-05
