,lag,correlation
CPIAUCSL,-24.0,-0.4635971852460096
UNRATE,0.0,-0.38949289353400807
GASREGW,-3.0,-0.5730108394361648
SP500,-14.0,-0.4899259185091321
FEDFUNDS,0.0,0.27422477455428906
HOUST,0.0,0.4494392511542295
