,prediction,change,pct_change
Base (Current),56.1228000000001,0.0,0.0
Mild Recession,56.41120000000009,0.28839999999999577,0.5138731495933831
Inflation Surge,55.9158000000001,-0.20700000000000074,-0.3688340567469912
Strong Recovery,56.161800000000085,0.03899999999998727,0.06949047445955513
