Model,Train R²,Test R²,Train RMSE,Test RMSE,N Features
OLS Regression,0.9239774436272439,-2.5689367231782483,3.387975766131322,19.926387716735398,15
Random Forest,0.9809460930524572,0.7263411213516597,1.6961375953672129,5.5177741956601105,15
