CPI_bin,n_observations,avg_CPI_change,optimal_lag_months,correlation,avg_sentiment_change
-1% to 0%,61,-0.15401785870785284,3,-0.32051645840865073,-0.4624398499644799
0% to 1%,358,0.27616790749544545,3,-0.10730889159173658,-0.004350754600870237
