shock_variable,peak_response,peak_period,initial_response,cumulative_24m
CPIAUCSL,10.840164382586714,5,0.0,-146.84992254630066
UNRATE,0.27241163044964334,4,0.0,-4.513396429802048
FEDFUNDS,0.9889938906682796,5,0.0,11.2881188522543
SP500,1.0633021269722498,2,0.0,3.3010315750127575
